,title,director_and_actors,year,ratings,number_of_users_rated
163,The Elephant Man,"David Lynch (dir.), Anthony Hopkins, John Hurt",(1980),8.1,"8.1 based on 233,225 user ratings"
164,The Sixth Sense,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",(1999),8.1,"8.1 based on 952,879 user ratings"
165,The Truman Show,"Peter Weir (dir.), Jim Carrey, Ed Harris",(1998),8.1,"8.1 based on 1,007,802 user ratings"
166,Jurassic Park,"Steven Spielberg (dir.), Sam Neill, Laura Dern",(1993),8.1,"8.1 based on 923,970 user ratings"
167,Smultronstället,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",(1957),8.1,"8.1 based on 103,648 user ratings"
168,The Third Man,"Carol Reed (dir.), Orson Welles, Joseph Cotten",(1949),8.1,"8.1 based on 167,118 user ratings"
169,Salinui chueok,"Bong Joon Ho (dir.), Kang-ho Song, Kim Sang-kyung",(2003),8.1,"8.1 based on 164,819 user ratings"
170,V for Vendetta,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",(2005),8.1,"8.1 based on 1,081,333 user ratings"
171,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",(1982),8.1,"8.1 based on 734,265 user ratings"
172,Trainspotting,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",(1996),8.1,"8.1 based on 663,302 user ratings"
173,Inside Out,"Pete Docter (dir.), Amy Poehler, Bill Hader",(2015),8.1,"8.1 based on 667,024 user ratings"
174,The Bridge on the River Kwai,"David Lean (dir.), William Holden, Alec Guinness",(1957),8.1,"8.1 based on 213,639 user ratings"
175,Fargo,"Joel Coen (dir.), William H. Macy, Frances McDormand",(1996),8.1,"8.1 based on 651,623 user ratings"
176,Finding Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",(2003),8.1,"8.1 based on 997,102 user ratings"
177,Warrior,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",(2011),8.1,"8.1 based on 454,781 user ratings"
178,Kill Bill: Vol. 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",(2003),8.1,"8.1 based on 1,062,096 user ratings"
179,Gone with the Wind,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",(1939),8.1,"8.1 based on 304,813 user ratings"
180,Tôkyô monogatari,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",(1953),8.1,"8.1 based on 58,814 user ratings"
181,On the Waterfront,"Elia Kazan (dir.), Marlon Brando, Karl Malden",(1954),8.1,"8.1 based on 150,179 user ratings"
182,Dune: Part One,"Denis Villeneuve (dir.), Timothée Chalamet, Rebecca Ferguson",(2021),8.1,"8.1 based on 421,165 user ratings"
183,Babam ve Oglum,"Cagan Irmak (dir.), Eser Sariyar, Çetin Tekindor",(2005),8.1,"8.1 based on 84,157 user ratings"
184,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",(2014),8.1,"8.1 based on 189,642 user ratings"
185,Stalker,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",(1979),8.1,"8.1 based on 128,629 user ratings"
186,Prisoners,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",(2013),8.1,"8.1 based on 654,616 user ratings"
187,The Deer Hunter,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",(1978),8.1,"8.1 based on 328,299 user ratings"
188,The Grand Budapest Hotel,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",(2014),8.1,"8.1 based on 760,806 user ratings"
189,The General,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",(1926),8.1,"8.1 based on 88,043 user ratings"
190,Sherlock Jr.,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",(1924),8.1,"8.1 based on 46,986 user ratings"
191,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",(2008),8.1,"8.1 based on 750,185 user ratings"
192,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",(1966),8.1,"8.1 based on 112,684 user ratings"
193,Z,"Costa-Gavras (dir.), Yves Montand, Irene Papas",(1969),8.1,"8.1 based on 26,886 user ratings"
194,Before Sunrise,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",(1995),8.1,"8.1 based on 291,605 user ratings"
195,Mary and Max.,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",(2009),8.1,"8.1 based on 172,474 user ratings"
196,Catch Me If You Can,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",(2002),8.1,"8.1 based on 908,318 user ratings"
197,Mr. Smith Goes to Washington,"Frank Capra (dir.), James Stewart, Jean Arthur",(1939),8.1,"8.1 based on 112,663 user ratings"
198,In the Name of the Father,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",(1993),8.1,"8.1 based on 168,087 user ratings"
199,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",(1975),8.1,"8.1 based on 160,727 user ratings"
200,Gone Girl,"David Fincher (dir.), Ben Affleck, Rosamund Pike",(2014),8.1,"8.1 based on 926,469 user ratings"
